Chinese,Pinyin ^1,English Meaning 2
迁移,qiānyí,To migrate; to move; migration (noun)
圆周率,yuánzhōulǜ,Pi (π); circle ratio
陷入,xiànrù,To sink into; to be bogged down in; to fall into
绘画,huìhuà,Drawing; painting
瓦解,wǎjiě,To collapse; to disintegrate; to break up
交替,jiāotì,To alternate; to take turns
蜡,là,Wax
安慰,ānwèi,To comfort; to console; comfort (noun)
伙食费,huǒshífèi,Board expenses; cost of food
内容,nèiróng,Content; substance; details
奢侈,shēchǐ,Luxurious; extravagant; lavish
融合,rónghé,To mix together; to fuse; fusion
