Chinese,Pinyin ^1,English Meaning 2
法律,fǎlǜ,Law; statute
申报,shēnbào,To declare; to report (to the authorities); to apply (for)
纳税,nàshuì,To pay taxes
轨道,guǐdào,Orbit; railway track
亭,tíng,Pavilion; kiosk; booth
货币,huòbì,Currency; monetary
刑罚,xíngfá,Criminal penalty; punishment
项,xiàng,Nape of the neck; item; measure word for a project/fund
巩固,gǒnggù,To consolidate; to strengthen; solid
巡游,xúnyóu,To cruise; to tour; to patrol
逮捕,dàibǔ,To arrest; to apprehend
征服,zhēngfú,To conquer; to subjugate; to vanquish
