Chinese,Pinyin ^1,English Meaning 2
短暂,duǎnzàn,Short; brief (of time)
粮仓,liángcāng,Granary; food storage
贯通,guàntōng,To link up; to run through; to join together
选拔,xuǎnbá,To select; to choose; to recruit
频繁,pínfán,Frequent; often
短缺,duǎnquē,Shortage; deficiency
中央,zhōngyāng,Central; center; central authorities
储存,chǔcún,To store; to stockpile; storage
杭州,Hángzhōu,"Hangzhou (capital of Zhejiang province, China)"
发达,fādá,"Developed (e.g., country, economy); flourishing"
荒芜,huāngwú,Wasteland; uncultivated; desolate
兵役,bīngyì,Military service; conscription
